Interview number,SECTOR,REGION,DISTRICT,PARISH,Language,Role in Business,What is your role in the business?,Age of owner,Gender of owner,Nationality of owner,Primary Activity,Secondary Activity,How long has the business been operating?,Legal status,What is the current legal status of the business? SINGLE ANSWER,Where business operates from,Where does the business mainly operate from? SINGLE ANSWER,Keeping all physical receipts in an organized manner,Book keeping for revenues (but not necessarily expenditures),Do full financials (Revenue and expense excluding tax accounting),4 Do full financials (Revenue and expense including tax accounting),Firms total sales
234,FOOD PROCESSING,CENTRAL,LWENGO,KINONI TC,English,Owner,,35-50,Male,Ugandan,"Crop and animal production, hunting and related service activities",,7,Single owner/sole proprietorship,,Home,,No,No,0,0,1000000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
236,FINANCIAL,EASTERN,JINJA,KAKIRA,Luganda,Other (please state),Vice chairperson,35-50,Female,Ugandan,"Financial service activities, except insurance and pension funding",,11,Other (please specify),Association of members,"Formal business premises (e.g. office, business complex,",,Yes,Yes,1,1,120000
,,,,,,,,,,,,,,,,,,,,,,
239,FOOD PROCESSING,EASTERN,JINJA,KAKIRA,Other (specify),Other (please state),Director,50+,Male,Ugandan,"Crop and animal production, hunting and related service activities",,12,Partnership,,"Formal business premises (e.g. office, business complex,",,No,No,0,0,300000
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
243,AGRICULTURE,WESTERN,HOIMA,CENTRAL WARD,Luganda,Owner,,25-34,Male,Ugandan,Manufacture of wearing apparel,,15,Single owner/sole proprietorship,,Farm,,No,No,0,0,3000000
,,,,,,,,,,,,,,,,,,,,,,
246,RECREATION & PERSONAL,KAMPALA,KAMPALA,SALAAMA,English,Owner,,50+,Female,Ugandan,"Creative, arts and entertainment activities",,6,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,No,Yes,0,0,300000
247,ACCOMODATION,WESTERN,MBARARA,RUTOOMA,English,Manager,,35-50,Male,Indian,"Motion picture, video and television programme production, sound recording and m",,14,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,Yes,Yes,1,1,6750000
248,AGRICULTURE,EASTERN,JINJA,KAKIRA,Luganda,Other (please state),Chairperson,35-50,Female,Ugandan,"Retail trade, except of motor vehicles and motorcycles",,4,Other (please specify),Association of members,Home,,Yes,No,0,0,0
249,TRANSPORT & STORAGE,CENTRAL,MPIGI,TIRIBOGO,English,Other (please state),Adviser,35-50,Male,Ugandan,"Computer programming, consultancy and related activities",,9,Partnership,,"Informal premises (e.g. informal market, street, vehicle,",,Yes,Yes,1,1,63600000
250,ACCOMODATION,CENTRAL,WAKISO,KATABI,English,Manager,,35-50,Male,Ugandan,"Crop and animal production, hunting and related service activities",Food and beverage service activities,7,"Privately held, limited company",,"Formal business premises (e.g. office, business complex,",,Yes,Yes,1,0,15000000
252,AGRICULTURE,EASTERN,JINJA,KAKIRA,Other (specify),Owner,,35-50,Male,Ugandan,"Crop and animal production, hunting and related service activities",,23,Single owner/sole proprietorship,,"Informal premises (e.g. informal market, street, vehicle,",,Yes,Yes,0,0,1300000
254,FINANCIAL,EASTERN,MAYUGE,KITYETERERA,English,Owner,,18-24,Male,Ugandan,"Financial service activities, except insurance and pension funding",,11,Co-operative,,"Formal business premises (e.g. office, business complex,",,Yes,Yes,1,1,18000000
255,FOOD PROCESSING,EASTERN,MAYUGE,MAGAMAGA TOWN BOARD,English,Owner,,35-50,Male,Ugandan,"Creative, arts and entertainment activities",,12,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,Yes,Yes,1,1,288000
256,OTHER MANUFACTURING,EASTERN,MAYUGE,KAVULE,Luganda,Owner,,25-34,Male,Ugandan,Specialized construction activities,,7,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,No,No,0,0,800000
257,AGRICULTURE,EASTERN,JINJA,BUTAMIRA,English,Owner,,35-50,Male,Ugandan,Repair and installation of machinery and equipment,,17,Single owner/sole proprietorship,,Farm,,Yes,No,0,0,2000000
258,AGRICULTURE,WESTERN,KABAROLE,MITANDI,English,Owner,,50+,Male,Ugandan,"Financial service activities, except insurance and pension funding",,15,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,No,No,0,0,12000
259,TRADING,CENTRAL,MASAKA,KATWE,English,Owner,,35-50,Male,Ugandan,Manufacture of wearing apparel,,5,Single owner/sole proprietorship,,Home,,No,No,0,0,600000
260,OTHER MANUFACTURING,KAMPALA,KAMPALA,MBUYA I,English,Owner,,35-50,Male,Ugandan,Manufacture of wearing apparel,,12,"Privately held, limited company",,"Formal business premises (e.g. office, business complex,",,Yes,Yes,0,1,500000
,,,,,,,,,,,,,,,,,,,,,,
264,AGRICULTURE,CENTRAL,WAKISO,SSISA,English,Owner,,35-50,Male,Ugandan,"Crop and animal production, hunting and related service activities",,10,"Privately held, limited company",,Farm,,Yes,Yes,0,0,25000000
265,AGRICULTURE,EASTERN,JINJA,KAKIRA,Other (specify),Owner,,25-34,Male,Ugandan,"Crop and animal production, hunting and related service activities",,12,Single owner/sole proprietorship,,Farm,,Yes,Yes,0,0,1500000
266,MINING,KAMPALA,KAMPALA,BANDA,English,Owner,,18-24,Male,Ugandan,"Retail trade, except of motor vehicles and motorcycles",,5,Single owner/sole proprietorship,,"Informal premises (e.g. informal market, street, vehicle,",,Yes,Yes,0,0,1200000
267,REAL ESTATE,KAMPALA,KAMPALA,MAKINDYE I,English,Owner,,35-50,Male,Ugandan,Rental and leasing activities,,14,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,Yes,Yes,1,0,0
,,,,,,,,,,,,,,,,,,,,,,
269,RECREATION & PERSONAL,NORTHERN,GULU,ABWOCH,English,Manager,,50+,Male,Ugandan,Sports activities and amusement and recreation activities,Food and beverage service activities,9,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,Yes,Yes,0,0,500000
270,EDUCATION & HEALTH,CENTRAL,LUWERO,KASAALA,English,Owner,,50+,Female,Ugandan,Education,,10,Single owner/sole proprietorship,,Home,,Yes,Yes,0,0,200000
271,INFORMATION & COMMUNICATION,CENTRAL,WAKISO,KAZO-NABWERU,English,Manager,,50+,Male,Ugandan,"Retail trade, except of motor vehicles and motorcycles",Food and beverage service activities,13,"Privately held, limited company",,"Formal business premises (e.g. office, business complex,",,Yes,Yes,1,1,2301000
272,AGRICULTURE,WESTERN,MBARARA,RUHARO,English,Owner,,50+,Male,Ugandan,"Crop and animal production, hunting and related service activities",,25,Single owner/sole proprietorship,,Home,,No,No,0,0,450000
273,OTHER MANUFACTURING,CENTRAL,WAKISO,KAZO-NABWERU,English,Owner,,35-50,Male,Ugandan,"Retail trade, except of motor vehicles and motorcycles",,22,Single owner/sole proprietorship,,Home,,Yes,Yes,1,0,5000000
275,MINING,KAMPALA,KAMPALA,RUBAGA,English,Owner,,25-34,Male,Ugandan,"Retail trade, except of motor vehicles and motorcycles",,7,Single owner/sole proprietorship,,"Informal premises (e.g. informal market, street, vehicle,",,No,No,0,0,5000000
,,,,,,,,,,,,,,,,,,,,,,
277,EDUCATION & HEALTH,CENTRAL,MASAKA,BUTEGO,English,Owner,,25-34,Female,Ugandan,Education,,1,Single owner/sole proprietorship,,Home,,Yes,No,0,0,222000
,,,,,,,,,,,,,,,,,,,,,,
279,FISHING,WESTERN,MASINDI,CIVIC CENTRE,English,Owner,,35-50,Male,Ugandan,"Motion picture, video and television programme production, sound recording and m",,18,Single owner/sole proprietorship,,Home,,Yes,No,0,0,2000000
280,FISHING,WESTERN,MASINDI,CIVIC CENTRE,English,Owner,,35-50,Male,Ugandan,"Retail trade, except of motor vehicles and motorcycles",,15,Single owner/sole proprietorship,,Home,,No,No,0,0,1500000
281,FISHING,WESTERN,MASINDI,CIVIC CENTRE,English,Owner,,35-50,Male,Ugandan,"Creative, arts and entertainment activities",,7,Single owner/sole proprietorship,,Home,,No,No,0,0,2000000
282,REAL ESTATE,CENTRAL,KIBOGA,BAMUSUUTA WARD,English,Manager,,25-34,Female,Ugandan,"Retail trade, except of motor vehicles and motorcycles",Construction of buildings,12,"Privately held, limited company",,"Formal business premises (e.g. office, business complex,",,Yes,Yes,1,1,2000000
,,,,,,,,,,,,,,,,,,,,,,
286,AGRICULTURE,KAMPALA,KAMPALA,NAKAWA,English,Owner,,35-50,Female,Ugandan,"Crop and animal production, hunting and related service activities",,15,Single owner/sole proprietorship,,Home,,No,No,0,0,3500000
287,EDUCATION & HEALTH,CENTRAL,MPIGI,WARD A,English,Owner,,35-50,Male,Ugandan,Education,,10,Partnership,,"Formal business premises (e.g. office, business complex,",,Yes,Yes,1,0,30000000
288,TRADING,KAMPALA,KAMPALA,NAKASERO I,English,Manager,,25-34,Male,Ugandan,"Retail trade, except of motor vehicles and motorcycles",Other personal service activities,20,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,Yes,Yes,1,1,26000000
289,EDUCATION & HEALTH,CENTRAL,MASAKA,NYENDO,English,Manager,,35-50,Male,Ugandan,Education,,4,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,Yes,Yes,0,0,800000
290,EDUCATION & HEALTH,CENTRAL,MASAKA,NYENDO,English,Manager,,35-50,Female,Ugandan,Education,,3,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,Yes,Yes,0,0,600000
293,ACCOMODATION,EASTERN,MBALE,NABITIRI,English,Manager,,35-50,Male,Ugandan,"Crop and animal production, hunting and related service activities",,15,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,Yes,No,1,1,24149300
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
298,TRANSPORT & STORAGE,KAMPALA,KAMPALA,NAJJANANKUMBI I,English,Owner,,50+,Male,Ugandan,Other personal service activities,,20,Single owner/sole proprietorship,,Home,,Yes,No,1,0,300000
299,FOOD PROCESSING,KAMPALA,KAMPALA,KIBULI,English,Owner,,25-34,Male,Ugandan,Food and beverage service activities,"Retail trade, except of motor vehicles and motorcycles",5,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,Yes,Yes,1,0,500000
300,FOOD PROCESSING,WESTERN,MBARARA,NYAMUTYOBORA,English,Owner,,35-50,Male,Ugandan,"Crop and animal production, hunting and related service activities",,6,"Privately held, limited company",,"Formal business premises (e.g. office, business complex,",,Yes,No,0,0,600000
301,FINANCIAL,WESTERN,MBARARA,NYAMUTYOBORA,English,Manager,,25-34,Male,Ugandan,"Financial service activities, except insurance and pension funding",,8,Co-operative,,"Formal business premises (e.g. office, business complex,",,Yes,Yes,1,1,9700000
302,REAL ESTATE,KAMPALA,KAMPALA,RUBAGA,English,Manager,,35-50,Male,Ugandan,Rental and leasing activities,Construction of buildings,6,"Privately held, limited company",,"Formal business premises (e.g. office, business complex,",,Yes,Yes,1,1,120000000
304,AGRICULTURE,CENTRAL,LUWERO,LUWERO CENTRAL,Luganda,Owner,,50+,Male,Ugandan,"Retail trade, except of motor vehicles and motorcycles",,8,Single owner/sole proprietorship,,Home,,No,No,0,0,4000000
305,FINANCIAL,WESTERN,NTUNGAMO,ITERERO,English,Manager,,25-34,Female,Ugandan,"Financial service activities, except insurance and pension funding",,7,Co-operative,,"Formal business premises (e.g. office, business complex,",,Yes,Yes,1,1,10000000
,,,,,,,,,,,,,,,,,,,,,,
307,EDUCATION & HEALTH,CENTRAL,WAKISO,KAKIRI,English,Owner,,35-50,Male,Ugandan,Education,"Crop and animal production, hunting and related service activities",7,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,Yes,Yes,1,1,3000000
308,TRANSPORT & STORAGE,KAMPALA,KAMPALA,MBUYA I,English,Owner,,50+,Male,Ugandan,"Creative, arts and entertainment activities",,12,Single owner/sole proprietorship,,Home,,Yes,No,1,1,800000
309,RECREATION & PERSONAL,KAMPALA,KAMPALA,MBUYA I,English,Owner,,25-34,Male,Ugandan,"Retail trade, except of motor vehicles and motorcycles",,10,"Privately held, limited company",,"Formal business premises (e.g. office, business complex,",,Yes,Yes,0,1,500000
310,AGRICULTURE,KAMPALA,KAMPALA,MBUYA I,English,Owner,,35-50,Male,Ugandan,Education,,10,Single owner/sole proprietorship,,Home,,No,Yes,1,1,100000
,,,,,,,,,,,,,,,,,,,,,,
312,AGRICULTURE,KAMPALA,KAMPALA,MBUYA I,English,Owner,,50+,Male,Ugandan,Education,,30,Single owner/sole proprietorship,,Home,,Yes,No,0,0,0
313,INFORMATION & COMMUNICATION,WESTERN,KASESE,TOWN CENTRE,English,Owner,,35-50,Male,Ugandan,"Computer programming, consultancy and related activities",Education,4,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,Yes,Yes,0,0,200000
314,AGRICULTURE,CENTRAL,MUKONO,SEETA,English,Owner,,50+,Male,Ugandan,"Retail trade, except of motor vehicles and motorcycles",,36,Single owner/sole proprietorship,,Farm,,No,No,0,0,400000
315,OTHER MANUFACTURING,KAMPALA,KAMPALA,NDEEBA,English,Owner,,35-50,Male,Ugandan,Repair and installation of machinery and equipment,"Retail trade, except of motor vehicles and motorcycles",9,Partnership,,"Formal business premises (e.g. office, business complex,",,Yes,Yes,1,0,2500000
316,AGRICULTURE,WESTERN,MBARARA,RUTTI,English,Owner,,35-50,Female,Ugandan,Education,,16,Single owner/sole proprietorship,,"Informal premises (e.g. informal market, street, vehicle,",,Yes,Yes,0,0,1500000
318,TRADING,CENTRAL,MITYANA,CENTRAL WARD,Luganda,Owner,,50+,Male,Ugandan,"Retail trade, except of motor vehicles and motorcycles",,30,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,Yes,No,0,0,500000
319,FISHING,CENTRAL,KALANGALA,MULABANA,English,Owner,,35-50,Female,Ugandan,"Crop and animal production, hunting and related service activities",,5,Single owner/sole proprietorship,,Home,,No,No,0,0,1000000
322,ACCOMODATION,NORTHERN,LIRA,BAZZAR,English,Manager,,35-50,Female,Ugandan,Accommodation,Food and beverage service activities,8,"Privately held, limited company",,"Formal business premises (e.g. office, business complex,",,Yes,Yes,1,1,5000000
324,ACCOMODATION,NORTHERN,LIRA,BLUE CORNER,English,Owner,,35-50,Female,Ugandan,Education,,6,Partnership,,"Formal business premises (e.g. office, business complex,",,Yes,Yes,1,1,3000000
,,,,,,,,,,,,,,,,,,,,,,
326,EDUCATION & HEALTH,NORTHERN,LIRA,RAILWAY QUARTERS,English,Owner,,35-50,Female,Ugandan,Human health activities,,9,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,Yes,Yes,0,0,100000
327,RECREATION & PERSONAL,NORTHERN,KOLE,LWALA,English,Owner,,35-50,Male,Ugandan,"Financial service activities, except insurance and pension funding",Construction of buildings,5,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,Yes,Yes,1,1,500000
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
331,FINANCIAL,WESTERN,BUSHENYI,KITWE,English,Manager,,50+,Male,Ugandan,"Financial service activities, except insurance and pension funding","Retail trade, except of motor vehicles and motorcycles",12,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,Yes,Yes,0,1,34000000
332,AGRICULTURE,WESTERN,MBARARA,KAMUKUZI,English,Owner,,50+,Female,Ugandan,"Crop and animal production, hunting and related service activities",,14,Single owner/sole proprietorship,,Home,,Yes,No,0,0,1200000
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
335,ACCOMODATION,WESTERN,SHEEMA,ITENDERO/KABWOHE,English,Manager,,25-34,Male,Ugandan,Food and beverage service activities,Accommodation,15,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,Yes,Yes,0,0,4000000
336,INFORMATION & COMMUNICATION,EASTERN,BUSIA,SOUTH EAST,English,Owner,,25-34,Female,Ugandan,Education,,5,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,Yes,Yes,0,0,8500000
337,RECREATION & PERSONAL,CENTRAL,MUKONO,SEETA,Luganda,Owner,,25-34,Male,Ugandan,"Creative, arts and entertainment activities","Electricity, gas, steam and air conditioning supply",8,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,No,No,0,0,600000
338,OTHER MANUFACTURING,CENTRAL,MUKONO,SEETA,Luganda,Owner,,35-50,Male,Ugandan,Repair and installation of machinery and equipment,,8,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,No,No,0,0,500000
339,INFORMATION & COMMUNICATION,KAMPALA,KAMPALA,NAKAWA,English,Owner,,25-34,Male,Ugandan,"Computer programming, consultancy and related activities",,4,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,Yes,Yes,1,1,750000
340,AGRICULTURE,CENTRAL,MUKONO,KITALE,English,Owner,,35-50,Male,Ugandan,"Crop and animal production, hunting and related service activities",,4,Single owner/sole proprietorship,,Farm,,Yes,Yes,1,1,3000000
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
343,TRANSPORT & STORAGE,CENTRAL,MUKONO,NAGGALAMA,English,Owner,,35-50,Male,Ugandan,Other personal service activities,Warehousing and support activities for transportation,6,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,Yes,Yes,1,1,2588000
344,FINANCIAL,WESTERN,KASESE,TOWN CENTRE,English,Manager,,25-34,Female,Ugandan,"Financial service activities, except insurance and pension funding",,5,Co-operative,,"Formal business premises (e.g. office, business complex,",,Yes,Yes,0,0,1500000
345,CONSTRUCTION,WESTERN,MBARARA,RUTTI,English,Owner,,35-50,Male,Ugandan,Activities of households as employers of domestic personnel,"Retail trade, except of motor vehicles and motorcycles",21,"Privately held, limited company",,"Formal business premises (e.g. office, business complex,",,Yes,No,0,0,1000000
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
348,OTHER MANUFACTURING,CENTRAL,MASAKA,NYENDO,English,Owner,,25-34,Female,Ugandan,Manufacture of wearing apparel,,5,Single owner/sole proprietorship,,Home,,No,No,0,0,150000
349,CONSTRUCTION,KAMPALA,KAMPALA,NTINDA,English,Manager,,25-34,Female,Ugandan,Civil engineering,Activities of head offices; management consultancy activities,6,"Privately held, limited company",,"Formal business premises (e.g. office, business complex,",,Yes,Yes,1,1,30000000
350,REAL ESTATE,KAMPALA,KAMPALA,NAKULABYE,English,Owner,,35-50,Male,Ugandan,Activities of head offices; management consultancy activities,,7,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,Yes,Yes,1,1,10000000
351,ACCOMODATION,WESTERN,MBARARA,KABARE,English,Owner,,25-34,Male,Ugandan,Food and beverage service activities,Land transport and transport via pipelines,5,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,Yes,No,0,0,200000
,,,,,,,,,,,,,,,,,,,,,,
353,INFORMATION & COMMUNICATION,WESTERN,KASESE,TOWN CENTRE WARD,English,Owner,,35-50,Male,Ugandan,"Computer programming, consultancy and related activities",,7,"Privately held, limited company",,"Formal business premises (e.g. office, business complex,",,Yes,Yes,1,1,2500000
